uuid|statusUuid|admmissinNo|streamUuid|firstname|middlename|lastname|gender|dateofbirth|birthcertificateNo|country|county|ward|regTerm|regYear|finalTerm|finalYear|studentType|studentLevel|admissiondate
CA69EB58-7DCA-4E9E-80B1-AC47B63A8C21|B2733AB2-9CDB-4361-89C5-86B175A2E828|100|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Peter|Mwenda|Njeru|M|19/90/31|L177728|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
82B17C63-6BBA-4B5C-B387-43DD1E74B2B1|B2733AB2-9CDB-4361-89C5-86B175A2E828|101|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Denis|Mugambi|Murithi|M|19/90/31|L177727|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
7DBC3E02-DB92-4A34-A506-D2ED184F02A9|B2733AB2-9CDB-4361-89C5-86B175A2E828|102|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Gareth|Mohammad|Lars|M|19/90/31|L177728|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
B393510A-2D03-44D1-8A0C-73FBEC1BEDD7|B2733AB2-9CDB-4361-89C5-86B175A2E828|103|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Deacon|Keane|Aladdin|M|19/90/31|L177729|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
E96657DE-DFEB-4073-AA93-4F83155DCD09|B2733AB2-9CDB-4361-89C5-86B175A2E828|104|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Kasper|Raphael|Clayton|M|19/90/31|L177730|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
FE1F19D5-C88D-411E-9543-40CE59979BEC|B2733AB2-9CDB-4361-89C5-86B175A2E828|105|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Quinn|Finn|Jermaine|M|19/90/31|L177731|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
E8246333-CD6C-48CE-8E12-16FDCD87C903|B2733AB2-9CDB-4361-89C5-86B175A2E828|106|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Hamish|Jameson|Thomas|M|19/90/31|L177732|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
4F6D9D5C-C3A2-42EA-9167-38159A622ADB|B2733AB2-9CDB-4361-89C5-86B175A2E828|107|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Tobias|Raphael|Jackson|M|19/90/31|L177733|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
91FC808C-C32A-417A-8E4B-C43808515AD8|B2733AB2-9CDB-4361-89C5-86B175A2E828|108|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Byron|Hunter|Dante|M|19/90/31|L177734|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
83193DF6-B960-4D46-8AA7-DCB088646E14|B2733AB2-9CDB-4361-89C5-86B175A2E828|109|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Lionel|Nero|Dennis|M|19/90/31|L177735|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
F061B7E5-AEE8-4450-B704-D6AA7BC51DCB|B2733AB2-9CDB-4361-89C5-86B175A2E828|110|2B0F8F79-DEF2-419D-9A76-17450B5CF768|Jamal|Ryder|Zane|M|19/90/31|L177736|Kenyan|Tharaka Nithi|Mugwe|1|2016|3|2019|Day|UPPER|2016-05-07 11:28:43.101+03
